crop_size,accuracy,params,time
20,48.66,24978442,603.6493849754333
24,85.76,24978442,604.6338069438934
28,87.71,24978442,609.8014302253723
32,88.67,24978442,611.4906811714172
26,85.85,24978442,607.5879967212677
