channels,pool_stride,accuracy,params,time
"[32, 64, 128, 256, 512]",1,10.0,20304522,1642.4152128696442
"[32, 64, 128, 256, 512]",2,10.0,20304522,282.51880264282227
"[64, 128, 256, 512, 512]",1,10.0,24969610,2232.987189054489
"[64, 128, 256, 512, 512]",2,10.0,24969610,378.01680636405945
"[64, 128, 256, 512, 1024]",1,10.0,64031626,4977.447672367096
"[64, 128, 256, 512, 1024]",2,10.0,64031626,595.7492666244507
